position,company_name,alternate_name,company_url,image_url,rating,rating_count,industry_and_location,highlights,reviews_count,salaries_count,interviews_count,jobs_count,benefits_count,photos_count
20,KPMG India,KPMG,https://www.ambitionbox.com/overview/kpmg-india-overview,https://static.ambitionbox.com/alpha/company/photos/logos/kpmg-global-services.jpg,3.4,(7k),Management Consulting | Bangalore / Bengaluru +111 other locations,"Critically Rated For Promotions / Appraisal, Work Life Balance, Work Satisfaction",7k,65k,909,57,749,6
1,ITC,ITC Limited,https://www.ambitionbox.com/overview/itc-overview,https://static.ambitionbox.com/alpha/company/photos/logos/itc.jpg,3.9,(7k),FMCG | Bangalore / Bengaluru +374 other locations,"Highly Rated For Job Security, Skill Development / Learning Critically Rated For Promotions / Appraisal",7k,24.1k,669,80,638,14
2,Axis Max Life Insurance,Axis Max Life Insurance overview,https://www.ambitionbox.com/overview/axis-max-life-insurance-overview,https://static.ambitionbox.com/alpha/company/photos/logos/max-life-insurance.jpg,4.0,(6.9k),Insurance | New Delhi +494 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance",6.9k,20k,392,111,495,8
3,Megha Engineering & Infrastructures,Megha Engineering and Infrastructure,https://www.ambitionbox.com/overview/megha-engineering-and-infrastructure-overview,https://static.ambitionbox.com/alpha/company/photos/logos/megha-engineering-and-infrastructure.jpg,3.9,(6.7k),Engineering & Construction | Hyderabad / Secunderabad +406 other locations,Critically Rated For Promotions / Appraisal,6.7k,18.3k,548,32,539,38
4,Tata Projects,Ms Tata Projects Ltd,https://www.ambitionbox.com/overview/tata-projects-overview,https://static.ambitionbox.com/alpha/company/photos/logos/ms-tata-projects-ltd.jpg,4.2,(6.6k),Engineering & Construction | Mumbai +284 other locations,"Highly Rated For Job Security, Salary & Benefits, Company Culture",6.6k,22.1k,570,30,540,57
5,Coforge,Coforge overview,https://www.ambitionbox.com/overview/coforge-overview,https://static.ambitionbox.com/alpha/company/photos/logos/coforge.jpg,3.2,(6.5k),IT Services & Consulting | Noida +104 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",6.5k,48.3k,678,125,273,102
6,FIS,Fidelity National Information Services,https://www.ambitionbox.com/overview/fis-overview,https://static.ambitionbox.com/alpha/company/photos/logos/fis.jpg,3.8,(6.4k),FinTech | Pune +61 other locations,"Highly Rated For Work Life Balance, Company Culture Critically Rated For Promotions / Appraisal, Skill Development / Learning",6.4k,38.7k,531,144,721,17
7,Bajaj Life Insurance,Bajaj Life Insurance overview,https://www.ambitionbox.com/overview/bajaj-life-overview,https://static.ambitionbox.com/alpha/company/photos/logos/bajaj-life.jpg,3.9,(6.4k),Insurance | Pune +606 other locations,Highly Rated For Salary & Benefits,6.4k,17.3k,431,60,474,17
8,L&T Technology Services,L&T Technology Services Limited,https://www.ambitionbox.com/overview/l-and-t-technology-services-overview,https://static.ambitionbox.com/alpha/company/photos/logos/l-and-t-technology-services.jpg,3.1,(6.4k),IT Services & Consulting | Bangalore / Bengaluru +93 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6.4k,42.6k,624,--,443,11
9,Cholamandalam Investment & Finance,cholamandalam investment & finance,https://www.ambitionbox.com/overview/cholamandalam-investment-and-finance-overview,https://static.ambitionbox.com/alpha/company/photos/logos/cholamandalam-investment-and-finance.jpg,3.8,(6.3k),Financial Services | Chennai +829 other locations,Highly Rated For Salary & Benefits Critically Rated For Promotions / Appraisal,6.3k,12.5k,267,13,293,37
10,IIFL Finance,IIFL,https://www.ambitionbox.com/overview/iifl-finance-overview,https://static.ambitionbox.com/alpha/company/photos/logos/iifl-finance.jpg,4.0,(6.3k),NBFC | Mumbai +801 other locations,"Highly Rated For Work Life Balance, Company Culture, Job Security",6.3k,14.3k,314,62,433,17
11,Oracle,Oracle overview,https://www.ambitionbox.com/overview/oracle-overview,https://static.ambitionbox.com/alpha/company/photos/logos/oracle.jpg,3.5,(6.2k),Software Product | Bangalore / Bengaluru +56 other locations,"Highly Rated For Work Life Balance Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6.2k,62.4k,940,1k,617,39
12,Indian Army,Indian Army overview,https://www.ambitionbox.com/overview/indian-army-overview,https://static.ambitionbox.com/alpha/company/photos/logos/indian-army.jpg,4.7,(6.2k),Defence & Aerospace | New Delhi +363 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance",6.2k,9.6k,196,--,728,8
13,Omega Healthcare,Omega Healthcare overview,https://www.ambitionbox.com/overview/omega-healthcare-overview,https://static.ambitionbox.com/alpha/company/photos/logos/omega-healthcare.jpg,3.8,(6.2k),BPO | Chennai +69 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits",6.2k,26.3k,530,119,390,26
14,Muthoot Finance,Muthoot Finance overview,https://www.ambitionbox.com/overview/muthoot-finance-overview,https://static.ambitionbox.com/alpha/company/photos/logos/muthoot-finance.jpg,3.7,(6.2k),NBFC | Bangalore / Bengaluru +781 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction",6.2k,12.9k,333,72,325,11
15,JLL,Jones Lang Lasalle,https://www.ambitionbox.com/overview/jll-overview,https://static.ambitionbox.com/alpha/company/photos/logos/jll.jpg,4.1,(6.1k),Real Estate | Gurgaon / Gurugram +85 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance Critically Rated For Promotions / Appraisal",6.1k,24.1k,470,148,540,21
16,HCL Group,HCL Group overview,https://www.ambitionbox.com/overview/hcl-overview,https://static.ambitionbox.com/alpha/company/photos/logos/hcl.jpg,3.5,(6.1k),IT Services & Consulting | Chennai +97 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6.1k,40.2k,509,--,661,1
17,eClerx,eClerx overview,https://www.ambitionbox.com/overview/eclerx-overview,https://static.ambitionbox.com/alpha/company/photos/logos/eclerx.jpg,3.1,(6.1k),IT Services & Consulting | Pune +32 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6.1k,31.6k,624,245,555,26
18,Virtusa Consulting Services,Virtusa Consulting Services overview,https://www.ambitionbox.com/overview/virtusa-consulting-services-overview,https://static.ambitionbox.com/alpha/company/photos/logos/virtusa-consulting-services.jpg,3.7,(5.9k),IT Services & Consulting | Hyderabad / Secunderabad +55 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Job Security",5.9k,56.5k,658,1.3k,318,23
19,Piramal Finance,Piramal Finance overview,https://www.ambitionbox.com/overview/piramal-finance-sales-and-service-overview,https://static.ambitionbox.com/alpha/company/photos/logos/piramal-finance-sales-and-service.jpg,4.2,(5.9k),NBFC | Mumbai +419 other locations,"Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning",5.9k,12.8k,287,2,445,4
20,DMart,D Mart,https://www.ambitionbox.com/overview/dmart-overview,https://static.ambitionbox.com/alpha/company/photos/logos/d-mart.jpg,3.9,(5.9k),Retail | Mumbai +246 other locations,"Highly Rated For Job Security, Company Culture Critically Rated For Promotions / Appraisal",5.9k,18.2k,530,174,473,16
